Time(s),Speed(RPM),Torque(Nm)
134,3342.127491,10.50527702
134.5,3342.127491,10.50527702
135,3342.127491,10.50527702
135.5,3342.127491,10.50527702
136,3342.127491,10.50527702
136.5,3342.127491,10.50527702
137,3342.127491,10.50527702
137.5,3342.127491,10.50527702
138,3342.127491,10.50527702
138.5,3342.127491,10.50527702
139,3342.127491,10.50527702
139.5,3342.127491,10.50527702
140,3342.127491,10.50527702
140.5,3342.127491,10.50527702
141,3342.127491,10.50527702
141.5,3342.127491,10.50527702
142,3342.127491,10.50527702
142.5,3342.127491,10.50527702
143,3342.127491,10.50527702
143.5,3342.127491,10.50527702
144,3342.127491,10.50527702
144.5,3342.127491,10.50527702
145,3342.127491,10.50527702
145.5,3342.127491,10.50527702
146,3342.127491,10.50527702
146.5,3342.127491,10.50527702
147,3342.127491,10.50527702
147.5,3342.127491,10.50527702
148,3342.127491,10.50527702
148.5,3342.127491,10.50527702
149,3342.127491,10.50527702
149.5,3342.127491,10.50527702
150,3342.127491,10.50527702
150.5,3342.127491,10.50527702
151,3342.127491,10.50527702
151.5,3342.127491,10.50527702
152,3342.127491,10.50527702
152.5,3342.127491,10.50527702
153,3342.127491,10.50527702
153.5,3342.127491,10.50527702
154,3342.127491,10.50527702
154.5,3342.127491,10.50527702
155,3342.127491,10.50527702
155.5,3279.462601,-22.48977253
156,3216.797711,-22.6056689
156.5,3154.13282,-22.71932932
157,3091.46793,-22.83075381
157.5,3028.803039,-22.93994235
158,2966.138149,-23.04689494
158.5,2903.473258,-23.1516116
159,2840.808368,-23.25409231
159.5,2778.143477,-23.35433708
160,2715.478587,-23.45234591
160.5,2652.813696,-23.54811879
161,2590.148806,-23.64165573
161.5,2527.483915,-23.73295673
162,2464.819025,-23.82202178
162.5,2402.154135,-23.9088509
163,2339.489244,-23.99344406
163.5,2339.489244,8.883473175
164,2339.489244,8.883473175
164.5,2339.489244,8.883473175
165,2339.489244,8.883473175
165.5,2339.489244,8.883473175
166,2339.489244,8.883473175
166.5,2339.489244,8.883473175
167,2339.489244,8.883473175
167.5,2339.489244,8.883473175
168,2339.489244,8.883473175
168.5,2339.489244,8.883473175
169,2339.489244,8.883473175
169.5,2339.489244,8.883473175
170,2339.489244,8.883473175
170.5,2339.489244,8.883473175
171,2339.489244,8.883473175
171.5,2339.489244,8.883473175
172,2339.489244,8.883473175
172.5,2339.489244,8.883473175
173,2339.489244,8.883473175
173.5,2339.489244,8.883473175
174,2339.489244,8.883473175
174.5,2339.489244,8.883473175
175,2339.489244,8.883473175
175.5,2339.489244,8.883473175
176,2339.489244,8.883473175
176.5,2339.489244,8.883473175
177,2339.489244,8.883473175
177.5,2339.489244,8.883473175
178,2339.489244,8.883473175
178.5,2222.514782,-52.6386972
179,2105.54032,-52.78283104
179.5,1988.565857,-52.91917386
180,1871.591395,-53.04772567
180.5,1754.616933,-53.16848646
181,1637.642471,-53.28145622
181.5,1520.668009,-53.38663497
182,1403.693546,-53.4840227
182.5,1286.719084,-53.57361942
183,1169.744622,-53.65542511
183.5,1052.77016,-53.72943979
184,935.7956976,-53.79566344
184.5,818.8212354,-53.85409608
185,701.8467732,-53.9047377
185.5,584.872311,-53.9475883
186,467.8978488,-53.98264789
186.5,350.9233866,-54.00991645
187,233.9489244,-54.029394
187.5,116.9744622,-54.04108053
188,0,0
188.5,0,0
189,0,0
189.5,0,0
190,0,0
190.5,0,0
191,0,0
191.5,0,0
192,0,0
192.5,0,0
193,0,0
193.5,0,0
194,0,0
194.5,0,0
195,0,0
195.5,0,0
196,0,0
196.5,0,0
197,0,0
197.5,0,0
198,0,0
198.5,0,0
199,0,0
199.5,0,0
200,0,0
200.5,0,0
201,0,0
201.5,0,0
202,0,0
202.5,0,0
203,0,0
203.5,0,0
204,0,0
204.5,0,0
205,0,0
205.5,0,0
206,0,0
206.5,125.3297809,73.08357584
207,250.6595619,73.0969915
207.5,375.9893428,73.11935093
208,501.3191237,73.15065413
208.5,626.6489047,73.1909011
209,751.9786856,73.24009184
209.5,877.3084665,73.29822635
210,1002.638247,73.36530464
210.5,1002.638247,7.611470158
211,1002.638247,7.611470158
211.5,1002.638247,7.611470158
212,1002.638247,7.611470158
212.5,1002.638247,7.611470158
213,1002.638247,7.611470158
213.5,1002.638247,7.611470158
214,1002.638247,7.611470158
214.5,1002.638247,7.611470158
215,1002.638247,7.611470158
215.5,1002.638247,7.611470158
216,1002.638247,7.611470158
216.5,1002.638247,7.611470158
217,1002.638247,7.611470158
217.5,1002.638247,7.611470158
218,1002.638247,7.611470158
218.5,902.3744227,-45.04597555
219,802.110598,-45.09462967
219.5,701.8467732,-45.13755977
220,601.5829485,-45.17476586
220.5,501.3191237,-45.20624793
221,401.055299,-45.232006
221.5,300.7914742,-45.25204004
222,200.5276495,-45.26635008
222.5,100.2638247,-45.2749361
223,0,0
223.5,0,0
224,0,0
224.5,0,0
225,0,0
225.5,0,0
226,0,0
226.5,0,0
227,0,0
227.5,0,0
228,0,0
228.5,0,0
229,0,0
229.5,0,0
230,0,0
230.5,0,0
231,0,0
231.5,0,0
232,0,0
232.5,0,0
233,0,0
233.5,0,0
234,0,0
234.5,0,0
235,0,0
235.5,0,0
236,0,0
236.5,0,0
237,0,0
237.5,0,0
238,0,0
238.5,0,0
239,0,0
239.5,0,0
240,0,0
240.5,0,0
241,0,0
241.5,0,0
242,0,0
242.5,0,0
243,0,0
243.5,0,0
244,0,0
244.5,89.12339977,54.08581311
245,178.2467995,54.09259713
245.5,267.3701993,54.10390382
246,356.4935991,54.11973319
246.5,445.6169989,54.14008524
247,534.7403986,54.16495997
247.5,623.8637984,54.19435737
248,712.9871982,54.22827745
248.5,802.110598,54.26672021
249,891.2339977,54.30968564
249.5,980.3573975,54.35717376
250,1069.480797,54.40918455
250.5,1158.604197,54.46571801
251,1247.727597,54.52677416
251.5,1336.850997,54.59235298
252,1425.974396,54.66245448
252.5,1515.097796,54.73707866
253,1604.221196,54.81622551
253.5,1693.344596,54.89989504
254,1782.467995,54.98808725
254.5,1871.591395,55.08080214
255,1960.714795,55.1780397
255.5,2049.838195,55.27979995
256,2138.961595,55.38608286
256.5,2138.961595,8.627800568
257,2138.961595,8.627800568
257.5,2138.961595,8.627800568
258,2138.961595,8.627800568
258.5,2138.961595,8.627800568
259,2138.961595,8.627800568
259.5,2138.961595,8.627800568
260,2138.961595,8.627800568
260.5,2138.961595,8.627800568
261,2138.961595,8.627800568
261.5,2138.961595,8.627800568
262,2138.961595,8.627800568
262.5,2138.961595,8.627800568
263,2138.961595,8.627800568
263.5,2138.961595,8.627800568
264,2138.961595,8.627800568
264.5,2138.961595,8.627800568
265,2138.961595,8.627800568
265.5,2138.961595,8.627800568
266,2138.961595,8.627800568
266.5,2138.961595,8.627800568
267,2138.961595,8.627800568
267.5,2138.961595,8.627800568
268,2138.961595,8.627800568
268.5,2138.961595,8.627800568
269,2138.961595,8.627800568
269.5,2138.961595,8.627800568
270,2138.961595,8.627800568
270.5,2138.961595,8.627800568
271,2138.961595,8.627800568
271.5,2138.961595,8.627800568
272,2138.961595,8.627800568
272.5,2138.961595,8.627800568
273,2138.961595,8.627800568
273.5,2138.961595,8.627800568
274,2138.961595,8.627800568
274.5,2138.961595,8.627800568
275,2138.961595,8.627800568
275.5,2138.961595,8.627800568
276,2138.961595,8.627800568
276.5,2138.961595,8.627800568
277,2138.961595,8.627800568
277.5,2138.961595,8.627800568
278,2138.961595,8.627800568
278.5,2138.961595,8.627800568
279,2138.961595,8.627800568
279.5,2138.961595,8.627800568
280,2138.961595,8.627800568
280.5,2041.736068,-42.4969554
281,1944.51054,-42.60729378
281.5,1847.285013,-42.7122498
282,1750.059486,-42.81182345
282.5,1652.833959,-42.90601475
283,1555.608432,-42.99482369
283.5,1458.382905,-43.07825027
284,1361.157378,-43.15629449
284.5,1263.931851,-43.22895634
285,1166.706324,-43.29623584
285.5,1069.480797,-43.35813298
286,972.2552702,-43.41464776
286.5,875.0297432,-43.46578018
287,777.8042162,-43.51153024
287.5,680.5786892,-43.55189794
288,583.3531621,-43.58688328
288.5,486.1276351,-43.61648626
289,388.9021081,-43.64070687
289.5,291.6765811,-43.65954513
290,194.451054,-43.67300103
290.5,97.22552702,-43.68107457
291,0,0
291.5,0,0
292,0,0
292.5,0,0
293,0,0
293.5,0,0
294,0,0
294.5,0,0
295,0,0
295.5,0,0
296,0,0
296.5,0,0
297,0,0
297.5,0,0
298,0,0
298.5,0,0
299,0,0
299.5,0,0
300,0,0
300.5,0,0
301,0,0
301.5,0,0
302,0,0
302.5,0,0
303,0,0
303.5,0,0
304,0,0
304.5,0,0
305,0,0
305.5,0,0
306,0,0
306.5,0,0
307,0,0
307.5,0,0
308,0,0
308.5,0,0
309,0,0
309.5,0,0
310,0,0
310.5,0,0
311,0,0
311.5,0,0
312,0,0
312.5,208.8829682,116.9274155
313,417.7659364,116.9646812
313.5,626.6489047,117.0267908
314,835.5318729,117.1137441
314.5,1044.414841,117.2255412
315,1253.297809,117.3621822
315.5,1462.180778,117.5236669
316,1671.063746,117.7099955
316.5,1879.946714,117.9211679
317,2088.829682,118.1571841
317.5,2297.71265,118.4180441
318,2506.595619,118.7037479
318.5,2715.478587,119.0142955
319,2924.361555,119.3496869
319.5,3133.244523,119.7099221
320,3342.127491,120.0950012
320.5,3342.127491,10.50527702
321,3342.127491,10.50527702
321.5,3342.127491,10.50527702
322,3342.127491,10.50527702
322.5,3342.127491,10.50527702
323,3342.127491,10.50527702
323.5,3342.127491,10.50527702
324,3342.127491,10.50527702
324.5,3342.127491,10.50527702
325,3342.127491,10.50527702
325.5,3342.127491,10.50527702
326,3342.127491,10.50527702
326.5,3342.127491,10.50527702
327,3342.127491,10.50527702
327.5,3342.127491,10.50527702
328,3342.127491,10.50527702
328.5,3342.127491,10.50527702
329,3342.127491,10.50527702
329.5,3342.127491,10.50527702
330,3342.127491,10.50527702
330.5,3342.127491,10.50527702
331,3342.127491,10.50527702
331.5,3342.127491,10.50527702
332,3342.127491,10.50527702
332.5,3342.127491,10.50527702
333,3342.127491,10.50527702
333.5,3342.127491,10.50527702
334,3342.127491,10.50527702
334.5,3342.127491,10.50527702
335,3342.127491,10.50527702
335.5,3342.127491,10.50527702
336,3342.127491,10.50527702
336.5,3342.127491,10.50527702
337,3342.127491,10.50527702
337.5,3342.127491,10.50527702
338,3342.127491,10.50527702
338.5,3342.127491,10.50527702
339,3342.127491,10.50527702
339.5,3342.127491,10.50527702
340,3342.127491,10.50527702
340.5,3342.127491,10.50527702
341,3342.127491,10.50527702
341.5,3342.127491,10.50527702
342,3342.127491,10.50527702
342.5,3342.127491,10.50527702
343,3342.127491,10.50527702
343.5,3342.127491,10.50527702
344,3342.127491,10.50527702
344.5,3342.127491,10.50527702
345,3342.127491,10.50527702
345.5,3342.127491,10.50527702
346,3342.127491,10.50527702
346.5,3342.127491,10.50527702
347,3342.127491,10.50527702
347.5,3342.127491,10.50527702
348,3342.127491,10.50527702
348.5,3342.127491,10.50527702
349,3342.127491,10.50527702
349.5,3342.127491,10.50527702
350,3342.127491,10.50527702
350.5,3279.462601,-22.48977253
351,3216.797711,-22.6056689
351.5,3154.13282,-22.71932932
352,3091.46793,-22.83075381
352.5,3028.803039,-22.93994235
353,2966.138149,-23.04689494
353.5,2903.473258,-23.1516116
354,2840.808368,-23.25409231
354.5,2778.143477,-23.35433708
355,2715.478587,-23.45234591
355.5,2652.813696,-23.54811879
356,2590.148806,-23.64165573
356.5,2527.483915,-23.73295673
357,2464.819025,-23.82202178
357.5,2402.154135,-23.9088509
358,2339.489244,-23.99344406
358.5,2339.489244,8.883473175
359,2339.489244,8.883473175
359.5,2339.489244,8.883473175
360,2339.489244,8.883473175
360.5,2339.489244,8.883473175
361,2339.489244,8.883473175
361.5,2339.489244,8.883473175
362,2339.489244,8.883473175
362.5,2339.489244,8.883473175
363,2339.489244,8.883473175
363.5,2339.489244,8.883473175
364,2339.489244,8.883473175
364.5,2339.489244,8.883473175
365,2339.489244,8.883473175
365.5,2339.489244,8.883473175
366,2339.489244,8.883473175
366.5,2339.489244,8.883473175
367,2339.489244,8.883473175
367.5,2339.489244,8.883473175
368,2339.489244,8.883473175
368.5,2339.489244,8.883473175
369,2339.489244,8.883473175
369.5,2339.489244,8.883473175
370,2339.489244,8.883473175
370.5,2339.489244,8.883473175
371,2339.489244,8.883473175
371.5,2339.489244,8.883473175
372,2339.489244,8.883473175
372.5,2339.489244,8.883473175
373,2339.489244,8.883473175
373.5,2222.514782,-52.6386972
374,2105.54032,-52.78283104
374.5,1988.565857,-52.91917386
375,1871.591395,-53.04772567
375.5,1754.616933,-53.16848646
376,1637.642471,-53.28145622
376.5,1520.668009,-53.38663497
377,1403.693546,-53.4840227
377.5,1286.719084,-53.57361942
378,1169.744622,-53.65542511
378.5,1052.77016,-53.72943979
379,935.7956976,-53.79566344
379.5,818.8212354,-53.85409608
380,701.8467732,-53.9047377
380.5,584.872311,-53.9475883
381,467.8978488,-53.98264789
381.5,350.9233866,-54.00991645
382,233.9489244,-54.029394
382.5,116.9744622,-54.04108053
383,0,0
383.5,0,0
384,0,0
384.5,0,0
385,0,0
385.5,0,0
386,0,0
386.5,0,0
387,0,0
387.5,0,0
388,0,0
388.5,0,0
389,0,0
